source_iri,target_iri
https://example.org/mod-sbd#Activity,https://example.org/ontology/sora#Activity
https://example.org/mod-sbd#Component,https://example.org/ontology/sora#Component
https://example.org/mod-sbd#Data,https://example.org/ontology/sora#Data
https://example.org/mod-sbd#Organisation,https://example.org/ontology/sora#Organisation
https://example.org/mod-sbd#Programme,https://example.org/ontology/sora#Programme
https://example.org/mod-sbd#Risk,https://example.org/ontology/sora#Risk
https://example.org/mod-sbd#Service,https://example.org/ontology/sora#Service
https://example.org/mod-sbd#Standard,https://example.org/ontology/sora#Standard
https://example.org/mod-sbd#System,https://example.org/ontology/sora#System
