ontology_side,entity_type,entity_iri,label
source,class,https://example.org/mod-sbd#InherentRisk,Inherent Risk
source,class,https://example.org/mod-sbd#InsiderThreat,Insider Threat
source,class,https://example.org/mod-sbd#Integrity,Integrity
source,class,https://example.org/mod-sbd#InvestmentApproval,Investment Approval
source,class,https://example.org/mod-sbd#InviteToTenderDocumentation,Invite to Tender Documentation
source,class,https://example.org/mod-sbd#KnowledgeAsset,Knowledge Asset
source,class,https://example.org/mod-sbd#LifecycleManagementActivity,Lifecycle Management Activity
source,class,https://example.org/mod-sbd#LifecycleSecurityPractice,Lifecycle Security Practice
source,class,https://example.org/mod-sbd#MaintainDataInventory,Maintain Data Inventory
source,class,https://example.org/mod-sbd#MakeSecurityAuthorisationDecision,Make Security Authorisation Decision
source,class,https://example.org/mod-sbd#ManageAssets,Manage Assets
source,class,https://example.org/mod-sbd#ManageBackups,Manage Backups
source,class,https://example.org/mod-sbd#ManageIncident,Manage Incident
source,class,https://example.org/mod-sbd#ManageSecurityControls,Manage Security Controls
source,class,https://example.org/mod-sbd#ManageThroughLife,Manage Through Life
source,class,https://example.org/mod-sbd#ManageVulnerabilities,Manage Vulnerabilities
source,class,https://example.org/mod-sbd#ManagedObject,Managed or Protected Object
source,class,https://example.org/mod-sbd#ManufactureStage,Manufacture
source,class,https://example.org/mod-sbd#Mission,Mission
source,class,https://example.org/mod-sbd#MonitorRemediation,Monitor Remediation
source,class,https://example.org/mod-sbd#MonitorRiskEffectiveness,Monitor Risk or Effectiveness
source,class,https://example.org/mod-sbd#MonitoringAndDetection,Monitoring and Detection
source,class,https://example.org/mod-sbd#MonitoringEvidence,Monitoring Evidence
source,class,https://example.org/mod-sbd#NormativeElement,Normative Element
source,class,https://example.org/mod-sbd#Obsolescence,Obsolescence
source,class,https://example.org/mod-sbd#ObtainSupplyChainAssurance,Obtain Supply Chain Assurance
source,class,https://example.org/mod-sbd#OnboardingOffboarding,Onboarding or Offboarding
source,class,https://example.org/mod-sbd#OperationalContext,Operational Context
source,class,https://example.org/mod-sbd#OperationalKnowledge,Operational Knowledge
source,class,https://example.org/mod-sbd#OperationalResilienceSecurityPractice,Operational Resilience Security Practice
source,class,https://example.org/mod-sbd#OperationalTechnology,Operational Technology (OT)
source,class,https://example.org/mod-sbd#OrganisationalConcept,Organisational Concept
source,class,https://example.org/mod-sbd#OrganisationalContext,Organisational Context
source,class,https://example.org/mod-sbd#OrganisationalEntity,Organisational Entity
source,class,https://example.org/mod-sbd#OrganisationalRiskAppetiteStatement,Organisational Risk Appetite Statement
source,class,https://example.org/mod-sbd#OrganisationalUnit,Organisational Unit
source,class,https://example.org/mod-sbd#PerformDueDiligence,Perform Due Diligence
source,class,https://example.org/mod-sbd#Personnel,Personnel
source,class,https://example.org/mod-sbd#PersonnelLifecycleContext,Personnel Lifecycle Context
source,class,https://example.org/mod-sbd#PlanIncidentResponse,Plan Incident Response
source,class,https://example.org/mod-sbd#PlanRiskResponse,Plan Risk Response
source,class,https://example.org/mod-sbd#PlanningArtefact,Planning Artefact
source,class,https://example.org/mod-sbd#PostIncidentOperationalNorm,Post-Incident Operational Norm
source,class,https://example.org/mod-sbd#PrimeSupplier,Prime Supplier
source,class,https://example.org/mod-sbd#PrioritiseRisk,Prioritise Risk
source,class,https://example.org/mod-sbd#ProcurementArtefact,Procurement Artefact
source,class,https://example.org/mod-sbd#ProgrammeBoard,Programme Board
source,class,https://example.org/mod-sbd#ProgrammeSponsorRole,Programme Sponsor
source,class,https://example.org/mod-sbd#ProtectData,Protect Data
source,class,https://example.org/mod-sbd#ProtectionControlSecurityPractice,Protection and Control Security Practice
source,class,https://example.org/mod-sbd#Recover,Recover
source,class,https://example.org/mod-sbd#Recoverability,Recoverability
source,class,https://example.org/mod-sbd#RecoveryPlan,Recovery Plan
source,class,https://example.org/mod-sbd#RecoveryPreparedness,Recovery Preparedness
source,class,https://example.org/mod-sbd#RecoverySupportService,Recovery Support Service
source,class,https://example.org/mod-sbd#Remediate,Remediate
source,class,https://example.org/mod-sbd#ReportingRecord,Reporting Record
source,class,https://example.org/mod-sbd#ResidualCyberRisk,Residual Cyber Risk
source,class,https://example.org/mod-sbd#Resilience,Resilience
source,class,https://example.org/mod-sbd#ResilienceMechanism,Resilience Mechanism
source,class,https://example.org/mod-sbd#Resource,Resource
source,class,https://example.org/mod-sbd#ResourceGap,Resource Gap
source,class,https://example.org/mod-sbd#ResponseTeam,Response Team
source,class,https://example.org/mod-sbd#Review,Review
source,class,https://example.org/mod-sbd#ReviewIncidents,Review Incidents
source,class,https://example.org/mod-sbd#ReviewRecord,Review Record
source,class,https://example.org/mod-sbd#ReviewTestArchitecture,Review or Test Architecture
source,class,https://example.org/mod-sbd#RiskAppetite,Risk Appetite
source,class,https://example.org/mod-sbd#RiskAppetiteStatement,Risk Appetite Statement
source,class,https://example.org/mod-sbd#RiskBasedSecurity,Risk-Based Security
source,class,https://example.org/mod-sbd#RiskCommunication,Risk Communication
source,class,https://example.org/mod-sbd#RiskConcept,Risk Concept
source,class,https://example.org/mod-sbd#RiskContributor,Risk Contributor
source,class,https://example.org/mod-sbd#RiskDecisionInformation,Risk Decision Information
source,class,https://example.org/mod-sbd#RiskGovernanceSecurityPractice,Risk and Governance Security Practice
source,class,https://example.org/mod-sbd#RiskManagementActivity,Risk Management Activity
source,class,https://example.org/mod-sbd#RiskManagementFramework,Risk Management Framework
source,class,https://example.org/mod-sbd#RiskOwnerRole,Risk Owner
source,class,https://example.org/mod-sbd#RiskResponse,Risk Response
source,class,https://example.org/mod-sbd#RiskTreatment,Risk Treatment
source,class,https://example.org/mod-sbd#Role,Role
source,class,https://example.org/mod-sbd#RoleRedundancy,Role Redundancy
source,class,https://example.org/mod-sbd#SQEPPersonnel,Suitably Qualified and Experienced Personnel (SQEP)
source,class,https://example.org/mod-sbd#SbDCriterion,SbD Criterion
source,class,https://example.org/mod-sbd#SbDPrinciple,SbD Principle
source,class,https://example.org/mod-sbd#SbDRequirement,SbD Requirement
source,class,https://example.org/mod-sbd#SecureAcquisition,Secure Acquisition
source,class,https://example.org/mod-sbd#SecureByDesign,Secure by Design
source,class,https://example.org/mod-sbd#SecureDevelopment,Secure Development
source,class,https://example.org/mod-sbd#SecureDisposal,Secure Disposal
source,class,https://example.org/mod-sbd#SecurityArtefact,Security Artefact
source,class,https://example.org/mod-sbd#SecurityAuthorisationDecision,Security Authorisation Decision
source,class,https://example.org/mod-sbd#SecurityAwareness,Security Awareness
source,class,https://example.org/mod-sbd#SecurityAwarenessMeasurement,Security Awareness Measurement
source,class,https://example.org/mod-sbd#SecurityControl,Security Control
source,class,https://example.org/mod-sbd#SecurityEngineeringActivity,Security Engineering Activity
source,class,https://example.org/mod-sbd#SecurityGovernance,Security Governance
source,class,https://example.org/mod-sbd#SecurityManagementConcept,Security Management Concept
source,class,https://example.org/mod-sbd#SecurityReporting,Security Reporting
source,class,https://example.org/mod-sbd#SecurityRequirement,Security Requirement
source,class,https://example.org/mod-sbd#SecurityRequirementFlowDown,Security Requirement Flow-Down
source,class,https://example.org/mod-sbd#SecurityTestingAndVerification,Security Testing and Verification
source,class,https://example.org/mod-sbd#SecurityWorkingGroup,Security Working Group
source,class,https://example.org/mod-sbd#SelectSecurityControls,Select Security Controls
source,class,https://example.org/mod-sbd#SeniorManagementRole,Senior Management
source,class,https://example.org/mod-sbd#SeniorResponsibleOwnerRole,Senior Responsible Owner
source,class,https://example.org/mod-sbd#SinglePointOfFailure,Single Point of Failure
source,class,https://example.org/mod-sbd#SocialEngineering,Social Engineering
source,class,https://example.org/mod-sbd#SocioTechnicalRisk,Socio-Technical Risk
source,class,https://example.org/mod-sbd#SocioTechnicalSecurity,Socio-Technical Security
source,class,https://example.org/mod-sbd#SpecialistCyberResponderRole,Specialist Cyber Responder
source,class,https://example.org/mod-sbd#Specification,Specification
source,class,https://example.org/mod-sbd#StakeholderNeedOrExpectation,Stakeholder Need or Expectation
source,class,https://example.org/mod-sbd#StakeholderRole,Stakeholder Role
source,class,https://example.org/mod-sbd#StoredData,Stored Data
source,class,https://example.org/mod-sbd#SupplierOrganisation,Supplier Organisation
source,class,https://example.org/mod-sbd#SupplyChain,Supply Chain
source,class,https://example.org/mod-sbd#SupplyChainAssuranceEvidence,Supply Chain Assurance Evidence
source,class,https://example.org/mod-sbd#SupplyChainRiskManagement,Supply Chain Risk Management
source,class,https://example.org/mod-sbd#SupplyChainSecurityPractice,Supply-Chain Security Practice
source,class,https://example.org/mod-sbd#TechnologicalChangeRisk,Technological Change Risk
source,class,https://example.org/mod-sbd#Technology,Technology
source,class,https://example.org/mod-sbd#TestSecurityResilience,Test Security or Resilience
source,class,https://example.org/mod-sbd#TestingEvidence,Testing Evidence
source,class,https://example.org/mod-sbd#ThirdPartyOrganisation,Third Party
source,class,https://example.org/mod-sbd#Threat,Threat
source,class,https://example.org/mod-sbd#ThreatActorRole,Threat Actor
source,class,https://example.org/mod-sbd#ThreatAssessment,Threat Assessment
source,class,https://example.org/mod-sbd#ThreatAssumption,Threat Assumption
source,class,https://example.org/mod-sbd#ThreatConcept,Threat Concept
source,class,https://example.org/mod-sbd#ThreatInformedSecurity,Threat-Informed Security
source,class,https://example.org/mod-sbd#ThreatIntelligence,Threat Intelligence
source,class,https://example.org/mod-sbd#ThreatManagementActivity,Threat Assessment and Modelling Activity
source,class,https://example.org/mod-sbd#ThreatModelling,Threat Modelling
source,class,https://example.org/mod-sbd#ThroughLifeManagementPlan,Through-Life Management Plan
source,class,https://example.org/mod-sbd#Tier1Supplier,Tier 1 Supplier
source,class,https://example.org/mod-sbd#Tier2Supplier,Tier 2 Supplier
source,class,https://example.org/mod-sbd#Tier3Supplier,Tier 3 Supplier
source,class,https://example.org/mod-sbd#Traceability,Traceability
source,class,https://example.org/mod-sbd#TrainPersonnel,Train Personnel
source,class,https://example.org/mod-sbd#TrainingEvidence,Training Record or Evidence
source,class,https://example.org/mod-sbd#TransmissionPath,Transmission Path
source,class,https://example.org/mod-sbd#UnderstandContext,Understand Context
source,class,https://example.org/mod-sbd#Update,Update
source,class,https://example.org/mod-sbd#Upgrade,Upgrade
source,class,https://example.org/mod-sbd#Vulnerability,Vulnerability
source,class,https://example.org/mod-sbd#VulnerabilityManagement,Vulnerability Management
source,class,https://example.org/mod-sbd#VulnerabilityManagementActivity,Vulnerability Management Activity
target,class,https://example.org/ontology/sora#Accreditation,Accreditation
target,class,https://example.org/ontology/sora#ActivityType,ActivityType
target,class,https://example.org/ontology/sora#Actor,Actor
target,class,https://example.org/ontology/sora#ActorRole,ActorRole
target,class,https://example.org/ontology/sora#AdverseEnvironmentalCondition,AdverseEnvironmentalCondition
target,class,https://example.org/ontology/sora#AirworthinessDesignStandard,AirworthinessDesignStandard
target,class,https://example.org/ontology/sora#AnalyticalAtomicObligation,AnalyticalAtomicObligation
target,class,https://example.org/ontology/sora#AnalyticalRequirementElement,AnalyticalRequirementElement
target,class,https://example.org/ontology/sora#ApplicabilityReference,ApplicabilityReference
target,class,https://example.org/ontology/sora#AssessmentArtifact,AssessmentArtifact
target,class,https://example.org/ontology/sora#AssuranceArtifact,AssuranceArtifact
target,class,https://example.org/ontology/sora#AssuranceClaim,AssuranceClaim
target,class,https://example.org/ontology/sora#AssuranceStatement,AssuranceStatement
target,class,https://example.org/ontology/sora#AuditProgramme,AuditProgramme
target,class,https://example.org/ontology/sora#C2Link,C2Link
target,class,https://example.org/ontology/sora#C3Link,C3Link
target,class,https://example.org/ontology/sora#Certificate,Certificate
target,class,https://example.org/ontology/sora#Checklist,Checklist
target,class,https://example.org/ontology/sora#CommunicationDevice,CommunicationDevice
target,class,https://example.org/ontology/sora#CommunicationLink,CommunicationLink
target,class,https://example.org/ontology/sora#ComputerSystem,ComputerSystem
target,class,https://example.org/ontology/sora#ConceptOfOperations,ConceptOfOperations
target,class,https://example.org/ontology/sora#Configuration,Configuration
target,class,https://example.org/ontology/sora#ConformityStatus,ConformityStatus
target,class,https://example.org/ontology/sora#ControlStation,ControlStation
target,class,https://example.org/ontology/sora#Credential,Credential
target,class,https://example.org/ontology/sora#Criterion,Criterion
target,class,https://example.org/ontology/sora#CriterionType,CriterionType
target,class,https://example.org/ontology/sora#CyberSafetyPolicy,CyberSafetyPolicy
target,class,https://example.org/ontology/sora#CybersecurityAccreditation,CybersecurityAccreditation
target,class,https://example.org/ontology/sora#Datalink,Datalink
target,class,https://example.org/ontology/sora#Declaration,Declaration
target,class,https://example.org/ontology/sora#DesignData,DesignData
target,class,https://example.org/ontology/sora#DesignInstallationAppraisal,DesignInstallationAppraisal
target,class,https://example.org/ontology/sora#Document,Document
target,class,https://example.org/ontology/sora#EmergencyResponsePlan,EmergencyResponsePlan
target,class,https://example.org/ontology/sora#EnvironmentalCondition,EnvironmentalCondition
target,class,https://example.org/ontology/sora#Equipment,Equipment
