ontology_side,ontology,entity_type,entity_iri,label,priority_keyword,proposed_counterpart,classification,assurance_relevance,review_notes
source,SbD,class,https://example.org/mod-sbd#RiskBasedSecurity,Risk-Based Security,security; risk,,,,
source,SbD,class,https://example.org/mod-sbd#RiskCommunication,Risk Communication,risk,,,,
source,SbD,class,https://example.org/mod-sbd#RiskConcept,Risk Concept,risk,,,,
source,SbD,class,https://example.org/mod-sbd#RiskContributor,Risk Contributor,risk,,,,
source,SbD,class,https://example.org/mod-sbd#RiskDecisionInformation,Risk Decision Information,risk,,,,
source,SbD,class,https://example.org/mod-sbd#RiskGovernanceSecurityPractice,Risk and Governance Security Practice,security; risk; governance,,,,
source,SbD,class,https://example.org/mod-sbd#RiskManagementActivity,Risk Management Activity,risk,,,,
source,SbD,class,https://example.org/mod-sbd#RiskManagementFramework,Risk Management Framework,risk,,,,
source,SbD,class,https://example.org/mod-sbd#RiskOwnerRole,Risk Owner,risk,,,,
source,SbD,class,https://example.org/mod-sbd#RiskResponse,Risk Response,risk,,,,
source,SbD,class,https://example.org/mod-sbd#RiskTreatment,Risk Treatment,risk,,,,
source,SbD,class,https://example.org/mod-sbd#SbDPrinciple,SbD Principle,principle,,,,
source,SbD,class,https://example.org/mod-sbd#SbDRequirement,SbD Requirement,requirement,,,,
source,SbD,class,https://example.org/mod-sbd#SecureAcquisition,Secure Acquisition,secure,,,,
source,SbD,class,https://example.org/mod-sbd#SecureByDesign,Secure by Design,secure,,,,
source,SbD,class,https://example.org/mod-sbd#SecureDevelopment,Secure Development,secure,,,,
source,SbD,class,https://example.org/mod-sbd#SecureDisposal,Secure Disposal,secure,,,,
source,SbD,class,https://example.org/mod-sbd#SecurityArtefact,Security Artefact,security,,,,
source,SbD,class,https://example.org/mod-sbd#SecurityAuthorisationDecision,Security Authorisation Decision,security,,,,
source,SbD,class,https://example.org/mod-sbd#SecurityAwareness,Security Awareness,security,,,,
source,SbD,class,https://example.org/mod-sbd#SecurityAwarenessMeasurement,Security Awareness Measurement,security,,,,
source,SbD,class,https://example.org/mod-sbd#SecurityControl,Security Control,security; control,,,,
source,SbD,class,https://example.org/mod-sbd#SecurityEngineeringActivity,Security Engineering Activity,security,,,,
source,SbD,class,https://example.org/mod-sbd#SecurityGovernance,Security Governance,security; governance,,,,
source,SbD,class,https://example.org/mod-sbd#SecurityManagementConcept,Security Management Concept,security,,,,
source,SbD,class,https://example.org/mod-sbd#SecurityMechanism,Security Mechanism,security,,,,
source,SbD,class,https://example.org/mod-sbd#SecurityPlan,Security Plan,security,,,,
source,SbD,class,https://example.org/mod-sbd#SecurityPrincipleOrPractice,Security Principle or Practice,security; principle,,,,
source,SbD,class,https://example.org/mod-sbd#SecurityProperty,Security Property,security,,,,
source,SbD,class,https://example.org/mod-sbd#SecurityReporting,Security Reporting,security,,,,
source,SbD,class,https://example.org/mod-sbd#SecurityRequirement,Security Requirement,security; requirement,,,,
source,SbD,class,https://example.org/mod-sbd#SecurityRequirementFlowDown,Security Requirement Flow-Down,security; requirement,,,,
source,SbD,class,https://example.org/mod-sbd#SecurityTestingAndVerification,Security Testing and Verification,security,,,,
source,SbD,class,https://example.org/mod-sbd#SecurityWorkingGroup,Security Working Group,security,,,,
source,SbD,class,https://example.org/mod-sbd#SelectSecurityControls,Select Security Controls,security; control,,,,
source,SbD,class,https://example.org/mod-sbd#SocioTechnicalRisk,Socio-Technical Risk,risk,,,,
source,SbD,class,https://example.org/mod-sbd#SocioTechnicalSecurity,Socio-Technical Security,security,,,,
source,SbD,class,https://example.org/mod-sbd#SupplierOrganisation,Supplier Organisation,supplier,,,,
source,SbD,class,https://example.org/mod-sbd#SupplyChainAssuranceEvidence,Supply Chain Assurance Evidence,assurance; evidence,,,,
source,SbD,class,https://example.org/mod-sbd#SupplyChainRiskManagement,Supply Chain Risk Management,risk,,,,
source,SbD,class,https://example.org/mod-sbd#SupplyChainSecurityPractice,Supply-Chain Security Practice,security,,,,
source,SbD,class,https://example.org/mod-sbd#TechnologicalChangeRisk,Technological Change Risk,risk,,,,
source,SbD,class,https://example.org/mod-sbd#TestSecurityResilience,Test Security or Resilience,security,,,,
source,SbD,class,https://example.org/mod-sbd#TestingEvidence,Testing Evidence,evidence,,,,
source,SbD,class,https://example.org/mod-sbd#Threat,Threat,threat,,,,
source,SbD,class,https://example.org/mod-sbd#ThreatActorRole,Threat Actor,threat,,,,
source,SbD,class,https://example.org/mod-sbd#ThreatAssessment,Threat Assessment,assessment; threat,,,,
source,SbD,class,https://example.org/mod-sbd#ThreatAssumption,Threat Assumption,threat,,,,
source,SbD,class,https://example.org/mod-sbd#ThreatConcept,Threat Concept,threat,,,,
source,SbD,class,https://example.org/mod-sbd#ThreatInformedSecurity,Threat-Informed Security,security; threat,,,,
source,SbD,class,https://example.org/mod-sbd#ThreatIntelligence,Threat Intelligence,threat,,,,
source,SbD,class,https://example.org/mod-sbd#ThreatManagementActivity,Threat Assessment and Modelling Activity,assessment; threat,,,,
source,SbD,class,https://example.org/mod-sbd#ThreatModelling,Threat Modelling,threat,,,,
source,SbD,class,https://example.org/mod-sbd#Tier1Supplier,Tier 1 Supplier,supplier,,,,
source,SbD,class,https://example.org/mod-sbd#Tier2Supplier,Tier 2 Supplier,supplier,,,,
source,SbD,class,https://example.org/mod-sbd#Tier3Supplier,Tier 3 Supplier,supplier,,,,
source,SbD,class,https://example.org/mod-sbd#TrainingEvidence,Training Record or Evidence,evidence,,,,
source,SbD,class,https://example.org/mod-sbd#Vulnerability,Vulnerability,vulnerability,,,,
source,SbD,class,https://example.org/mod-sbd#VulnerabilityManagement,Vulnerability Management,vulnerability,,,,
source,SbD,class,https://example.org/mod-sbd#VulnerabilityManagementActivity,Vulnerability Management Activity,vulnerability,,,,
target,SORA,class,https://example.org/ontology/sora#Accreditation,Accreditation,accreditation,,,,
target,SORA,class,https://example.org/ontology/sora#AirworthinessDesignStandard,AirworthinessDesignStandard,standard,,,,
