ontology_side,ontology,entity_type,entity_iri,label
target,SORA,class,https://example.org/ontology/sora#SecurityProperty,SecurityProperty
target,SORA,class,https://example.org/ontology/sora#Sensor,Sensor
target,SORA,class,https://example.org/ontology/sora#ServiceLevelAgreement,ServiceLevelAgreement
target,SORA,class,https://example.org/ontology/sora#Software,Software
target,SORA,class,https://example.org/ontology/sora#SourceDocument,SourceDocument
target,SORA,class,https://example.org/ontology/sora#TechnicalAsset,TechnicalAsset
target,SORA,class,https://example.org/ontology/sora#ThreatType,ThreatType
target,SORA,class,https://example.org/ontology/sora#Tool,Tool
target,SORA,class,https://example.org/ontology/sora#TrainingProgramme,TrainingProgramme
target,SORA,class,https://example.org/ontology/sora#TrainingRecord,TrainingRecord
target,SORA,class,https://example.org/ontology/sora#TrainingSyllabus,TrainingSyllabus
target,SORA,class,https://example.org/ontology/sora#UAS,UAS
target,SORA,class,https://example.org/ontology/sora#UnmannedAircraft,UnmannedAircraft
