ontology_side,ontology,entity_type,entity_iri,label
source,SbD,class,https://example.org/mod-sbd#IdentifyDocumentData,Identify or Document Data
source,SbD,class,https://example.org/mod-sbd#IdentifyRisk,Identify Risk
source,SbD,class,https://example.org/mod-sbd#InServiceStage,In-Service
source,SbD,class,https://example.org/mod-sbd#Incident,Incident
source,SbD,class,https://example.org/mod-sbd#IncidentContainment,Incident Containment
source,SbD,class,https://example.org/mod-sbd#IncidentManagementActivity,Incident Management Activity
source,SbD,class,https://example.org/mod-sbd#IncidentResponse,Incident Response
source,SbD,class,https://example.org/mod-sbd#IncidentResponsePlan,Incident Response Plan
source,SbD,class,https://example.org/mod-sbd#IncidentReviewRecord,Incident Review Record
source,SbD,class,https://example.org/mod-sbd#InformationArtifact,Information Artefact
source,SbD,class,https://example.org/mod-sbd#InformationSecurityService,Information Security Service
source,SbD,class,https://example.org/mod-sbd#InformationTechnology,Information Technology (IT)
source,SbD,class,https://example.org/mod-sbd#Infrastructure,Infrastructure
source,SbD,class,https://example.org/mod-sbd#InherentRisk,Inherent Risk
source,SbD,class,https://example.org/mod-sbd#InsiderThreat,Insider Threat
source,SbD,class,https://example.org/mod-sbd#Integrity,Integrity
source,SbD,class,https://example.org/mod-sbd#InvestmentApproval,Investment Approval
source,SbD,class,https://example.org/mod-sbd#InviteToTenderDocumentation,Invite to Tender Documentation
source,SbD,class,https://example.org/mod-sbd#KnowledgeAsset,Knowledge Asset
source,SbD,class,https://example.org/mod-sbd#LifecycleContext,Lifecycle Context
source,SbD,class,https://example.org/mod-sbd#LifecycleManagementActivity,Lifecycle Management Activity
source,SbD,class,https://example.org/mod-sbd#LifecycleSecurityPractice,Lifecycle Security Practice
source,SbD,class,https://example.org/mod-sbd#MaintainDataInventory,Maintain Data Inventory
source,SbD,class,https://example.org/mod-sbd#MakeSecurityAuthorisationDecision,Make Security Authorisation Decision
source,SbD,class,https://example.org/mod-sbd#ManageAssets,Manage Assets
source,SbD,class,https://example.org/mod-sbd#ManageBackups,Manage Backups
source,SbD,class,https://example.org/mod-sbd#ManageIncident,Manage Incident
source,SbD,class,https://example.org/mod-sbd#ManageSecurityControls,Manage Security Controls
source,SbD,class,https://example.org/mod-sbd#ManageThroughLife,Manage Through Life
source,SbD,class,https://example.org/mod-sbd#ManageVulnerabilities,Manage Vulnerabilities
source,SbD,class,https://example.org/mod-sbd#ManagedObject,Managed or Protected Object
source,SbD,class,https://example.org/mod-sbd#ManufactureStage,Manufacture
source,SbD,class,https://example.org/mod-sbd#Mission,Mission
source,SbD,class,https://example.org/mod-sbd#MonitorRemediation,Monitor Remediation
